GEOID,NAME,population,state,county,tract
06001400100,Census Tract 4001; Alameda County; California,3132,06,001,400100
06001400200,Census Tract 4002; Alameda County; California,2203,06,001,400200
06001400300,Census Tract 4003; Alameda County; California,5990,06,001,400300
06001400400,Census Tract 4004; Alameda County; California,4399,06,001,400400
06001400500,Census Tract 4005; Alameda County; California,3579,06,001,400500
06001400600,Census Tract 4006; Alameda County; California,2052,06,001,400600
06001400700,Census Tract 4007; Alameda County; California,4576,06,001,400700
06001400800,Census Tract 4008; Alameda County; California,4548,06,001,400800
06001400900,Census Tract 4009; Alameda County; California,2855,06,001,400900
06001401000,Census Tract 4010; Alameda County; California,6361,06,001,401000
06001401100,Census Tract 4011; Alameda County; California,5722,06,001,401100
06001401200,Census Tract 4012; Alameda County; California,3073,06,001,401200
06001401300,Census Tract 4013; Alameda County; California,4778,06,001,401300
06001401400,Census Tract 4014; Alameda County; California,4214,06,001,401400
06001401500,Census Tract 4015; Alameda County; California,2739,06,001,401500
06001401600,Census Tract 4016; Alameda County; California,2668,06,001,401600
06001401700,Census Tract 4017; Alameda County; California,3626,06,001,401700
06001401800,Census Tract 4018; Alameda County; California,1792,06,001,401800
06001402200,Census Tract 4022; Alameda County; California,2775,06,001,402200
06001402400,Census Tract 4024; Alameda County; California,2666,06,001,402400
06001402500,Census Tract 4025; Alameda County; California,1943,06,001,402500
06001402600,Census Tract 4026; Alameda County; California,1192,06,001,402600
06001402700,Census Tract 4027; Alameda County; California,1637,06,001,402700
06001402801,Census Tract 4028.01; Alameda County; California,2891,06,001,402801
06001402802,Census Tract 4028.02; Alameda County; California,1602,06,001,402802
06001402900,Census Tract 4029; Alameda County; California,2431,06,001,402900
06001403000,Census Tract 4030; Alameda County; California,3387,06,001,403000
06001403100,Census Tract 4031; Alameda County; California,2251,06,001,403100
06001403301,Census Tract 4033.01; Alameda County; California,1900,06,001,403301
06001403302,Census Tract 4033.02; Alameda County; California,2819,06,001,403302
06001403401,Census Tract 4034.01; Alameda County; California,2724,06,001,403401
06001403402,Census Tract 4034.02; Alameda County; California,998,06,001,403402
06001403501,Census Tract 4035.01; Alameda County; California,6063,06,001,403501
06001403502,Census Tract 4035.02; Alameda County; California,2052,06,001,403502
06001403600,Census Tract 4036; Alameda County; California,4839,06,001,403600
06001403701,Census Tract 4037.01; Alameda County; California,2602,06,001,403701
06001403702,Census Tract 4037.02; Alameda County; California,2198,06,001,403702
06001403800,Census Tract 4038; Alameda County; California,4056,06,001,403800
06001403900,Census Tract 4039; Alameda County; California,3767,06,001,403900
06001404000,Census Tract 4040; Alameda County; California,2847,06,001,404000
06001404101,Census Tract 4041.01; Alameda County; California,3267,06,001,404101
06001404102,Census Tract 4041.02; Alameda County; California,2546,06,001,404102
06001404200,Census Tract 4042; Alameda County; California,3661,06,001,404200
06001404300,Census Tract 4043; Alameda County; California,3600,06,001,404300
06001404400,Census Tract 4044; Alameda County; California,5567,06,001,404400
06001404501,Census Tract 4045.01; Alameda County; California,1794,06,001,404501
06001404502,Census Tract 4045.02; Alameda County; California,6286,06,001,404502
06001404600,Census Tract 4046; Alameda County; California,4697,06,001,404600
06001404700,Census Tract 4047; Alameda County; California,2211,06,001,404700
06001404800,Census Tract 4048; Alameda County; California,2755,06,001,404800
06001404900,Census Tract 4049; Alameda County; California,4929,06,001,404900
06001405000,Census Tract 4050; Alameda County; California,3566,06,001,405000
06001405100,Census Tract 4051; Alameda County; California,4476,06,001,405100
06001405200,Census Tract 4052; Alameda County; California,5254,06,001,405200
06001405301,Census Tract 4053.01; Alameda County; California,2979,06,001,405301
06001405302,Census Tract 4053.02; Alameda County; California,2501,06,001,405302
06001405401,Census Tract 4054.01; Alameda County; California,3796,06,001,405401
06001405402,Census Tract 4054.02; Alameda County; California,3212,06,001,405402
06001405500,Census Tract 4055; Alameda County; California,3674,06,001,405500
06001405600,Census Tract 4056; Alameda County; California,3277,06,001,405600
06001405700,Census Tract 4057; Alameda County; California,3927,06,001,405700
06001405800,Census Tract 4058; Alameda County; California,4590,06,001,405800
06001405901,Census Tract 4059.01; Alameda County; California,4114,06,001,405901
06001405902,Census Tract 4059.02; Alameda County; California,2969,06,001,405902
06001406000,Census Tract 4060; Alameda County; California,5157,06,001,406000
06001406100,Census Tract 4061; Alameda County; California,5810,06,001,406100
06001406201,Census Tract 4062.01; Alameda County; California,5344,06,001,406201
06001406202,Census Tract 4062.02; Alameda County; California,5257,06,001,406202
06001406300,Census Tract 4063; Alameda County; California,4378,06,001,406300
06001406400,Census Tract 4064; Alameda County; California,2370,06,001,406400
06001406500,Census Tract 4065; Alameda County; California,6046,06,001,406500
06001406601,Census Tract 4066.01; Alameda County; California,4426,06,001,406601
06001406602,Census Tract 4066.02; Alameda County; California,2837,06,001,406602
06001406700,Census Tract 4067; Alameda County; California,5778,06,001,406700
06001406800,Census Tract 4068; Alameda County; California,3747,06,001,406800
06001406900,Census Tract 4069; Alameda County; California,4142,06,001,406900
06001407000,Census Tract 4070; Alameda County; California,6290,06,001,407000
06001407101,Census Tract 4071.01; Alameda County; California,3545,06,001,407101
06001407102,Census Tract 4071.02; Alameda County; California,3996,06,001,407102
06001407200,Census Tract 4072; Alameda County; California,6672,06,001,407200
06001407300,Census Tract 4073; Alameda County; California,2513,06,001,407300
06001407400,Census Tract 4074; Alameda County; California,4311,06,001,407400
06001407500,Census Tract 4075; Alameda County; California,3458,06,001,407500
06001407600,Census Tract 4076; Alameda County; California,6771,06,001,407600
06001407700,Census Tract 4077; Alameda County; California,4271,06,001,407700
06001407800,Census Tract 4078; Alameda County; California,2523,06,001,407800
06001407900,Census Tract 4079; Alameda County; California,3047,06,001,407900
06001408000,Census Tract 4080; Alameda County; California,2758,06,001,408000
06001408100,Census Tract 4081; Alameda County; California,7745,06,001,408100
06001408200,Census Tract 4082; Alameda County; California,4504,06,001,408200
06001408300,Census Tract 4083; Alameda County; California,4705,06,001,408300
06001408400,Census Tract 4084; Alameda County; California,3965,06,001,408400
06001408500,Census Tract 4085; Alameda County; California,5263,06,001,408500
06001408600,Census Tract 4086; Alameda County; California,5925,06,001,408600
06001408700,Census Tract 4087; Alameda County; California,7280,06,001,408700
06001408800,Census Tract 4088; Alameda County; California,7461,06,001,408800
06001408900,Census Tract 4089; Alameda County; California,3958,06,001,408900
06001409000,Census Tract 4090; Alameda County; California,4204,06,001,409000
06001409100,Census Tract 4091; Alameda County; California,2455,06,001,409100
06001409200,Census Tract 4092; Alameda County; California,3785,06,001,409200
06001409300,Census Tract 4093; Alameda County; California,5832,06,001,409300
06001409400,Census Tract 4094; Alameda County; California,4983,06,001,409400
06001409500,Census Tract 4095; Alameda County; California,4548,06,001,409500
06001409600,Census Tract 4096; Alameda County; California,5442,06,001,409600
06001409700,Census Tract 4097; Alameda County; California,5543,06,001,409700
06001409800,Census Tract 4098; Alameda County; California,3370,06,001,409800
06001409900,Census Tract 4099; Alameda County; California,3769,06,001,409900
06001410000,Census Tract 4100; Alameda County; California,3116,06,001,410000
06001410100,Census Tract 4101; Alameda County; California,2833,06,001,410100
06001410200,Census Tract 4102; Alameda County; California,3409,06,001,410200
06001410300,Census Tract 4103; Alameda County; California,4093,06,001,410300
06001410400,Census Tract 4104; Alameda County; California,4131,06,001,410400
06001410500,Census Tract 4105; Alameda County; California,2750,06,001,410500
06001420100,Census Tract 4201; Alameda County; California,2636,06,001,420100
06001420200,Census Tract 4202; Alameda County; California,3131,06,001,420200
06001420301,Census Tract 4203.01; Alameda County; California,2381,06,001,420301
06001420302,Census Tract 4203.02; Alameda County; California,2322,06,001,420302
06001420401,Census Tract 4204.01; Alameda County; California,1406,06,001,420401
06001420402,Census Tract 4204.02; Alameda County; California,1596,06,001,420402
06001420500,Census Tract 4205; Alameda County; California,2462,06,001,420500
06001420600,Census Tract 4206; Alameda County; California,3480,06,001,420600
06001421100,Census Tract 4211; Alameda County; California,2214,06,001,421100
06001421200,Census Tract 4212; Alameda County; California,3588,06,001,421200
06001421300,Census Tract 4213; Alameda County; California,4131,06,001,421300
06001421400,Census Tract 4214; Alameda County; California,1739,06,001,421400
06001421500,Census Tract 4215; Alameda County; California,3989,06,001,421500
06001421600,Census Tract 4216; Alameda County; California,4008,06,001,421600
06001421700,Census Tract 4217; Alameda County; California,3346,06,001,421700
06001421800,Census Tract 4218; Alameda County; California,2173,06,001,421800
06001421900,Census Tract 4219; Alameda County; California,4110,06,001,421900
06001422000,Census Tract 4220; Alameda County; California,2470,06,001,422000
06001422100,Census Tract 4221; Alameda County; California,3027,06,001,422100
06001422200,Census Tract 4222; Alameda County; California,3313,06,001,422200
06001422300,Census Tract 4223; Alameda County; California,3770,06,001,422300
06001422400,Census Tract 4224; Alameda County; California,4096,06,001,422400
06001422500,Census Tract 4225; Alameda County; California,4481,06,001,422500
06001422700,Census Tract 4227; Alameda County; California,5154,06,001,422700
06001422800,Census Tract 4228; Alameda County; California,9850,06,001,422800
06001422901,Census Tract 4229.01; Alameda County; California,1768,06,001,422901
06001422902,Census Tract 4229.02; Alameda County; California,2214,06,001,422902
06001423000,Census Tract 4230; Alameda County; California,4478,06,001,423000
06001423100,Census Tract 4231; Alameda County; California,4286,06,001,423100
06001423200,Census Tract 4232; Alameda County; California,3049,06,001,423200
06001423300,Census Tract 4233; Alameda County; California,3623,06,001,423300
06001423400,Census Tract 4234; Alameda County; California,5218,06,001,423400
06001423500,Census Tract 4235; Alameda County; California,3768,06,001,423500
06001423601,Census Tract 4236.01; Alameda County; California,2603,06,001,423601
06001423602,Census Tract 4236.02; Alameda County; California,5621,06,001,423602
06001423700,Census Tract 4237; Alameda County; California,3381,06,001,423700
06001423800,Census Tract 4238; Alameda County; California,3397,06,001,423800
