zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
96816,5,5,76,0.06578947368421052,10.111516851044366,50883.0
99338,0,0,13,0.0,35.45224635382343,20633.0
92253,1741,1741,28909,0.060223459822200696,40.87127847785201,38666.0
92226,4,4,729,0.0054869684499314125,,
96817,3,3,38,0.07894736842105263,9.653061813402667,55492.0
91612,1,1,1,1.0,,
97449,0,0,1,0.0,48.538180685702194,2208.0
91945,678,682,21554,0.031455878259255825,3.952894533518907,27745.0
92870,3069,3124,39953,0.07681525792806548,6.743307630806386,52826.0
95031,37,37,802,0.046134663341645885,,
94054,0,0,1,0.0,,
95967,4,4,931,0.004296455424274973,,
94700,0,0,1,0.0,,
96630,0,0,1,0.0,,
93350,0,0,4,0.0,,
91060,0,0,0,,,
95762,4314,4317,42299,0.10198822667202534,43.99231837563965,47657.0
94964,16,16,248,0.06451612903225806,0.815740704980241,2344.0
96008,17,17,1442,0.011789181692094313,63.85410270840227,1054.0
90680,1006,1029,21539,0.046705975207762665,2.552004407752591,31991.0
95841,474,477,13807,0.034330412109799376,3.8977310948071193,20500.0
98933,0,0,1,0.0,27.82222767093169,1230.0
92411,167,169,17990,0.009282934963868816,4.873235562155901,27249.0
97035,6,6,62,0.0967741935483871,5.845600091888287,25911.0
90755,763,773,9940,0.07676056338028169,2.1744938914138556,11521.0
95347,1,1,91,0.01098901098901099,,
97391,0,0,2,0.0,117.70732143785338,5536.0
94544,3631,3657,57737,0.0628886156191004,10.951813983154969,76947.0
92761,0,0,1,0.0,,
93667,21,21,1822,0.011525795828759604,118.62371823275602,2218.0
93771,2,2,62,0.03225806451612903,,
90232,1436,1438,11584,0.12396408839779005,2.1768799966038794,16554.0
96710,0,0,5,0.0,41.22973759215673,162.0
98145,0,0,2,0.0,,
96913,0,0,9,0.0,24.45541777836917,
90043,1631,1656,27487,0.05933714119401899,4.102973803931173,42377.0
93590,9,9,549,0.01639344262295082,,
95246,23,23,1912,0.01202928870292887,69.12941347046217,1672.0
93282,0,0,1,0.0,,
91730,2846,2865,51389,0.05538150187783378,13.730579058609985,71613.0
97882,0,0,3,0.0,22.012522955390033,7976.0
93717,0,0,36,0.0,,
96784,0,0,1,0.0,,
91746,753,770,23351,0.03224701297588968,6.000870354654371,28387.0
