GEOID,NAMELSAD,population,tract_area_sq_mi,light_duty_vehicles_population_weighted,ev_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,application_group,predicted_target_evse_count,current_total_evse,planning_gap_evse_non_benchmark_only,planning_gap_bin,gap_map_class,benchmark_map_class
06001442700,Census Tract 4427,3068,0.48,2200.34,281.01,0.0,False,False,True,below_standard_gap_application,64.0,0.0,64.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06001442800,Census Tract 4428,3041,0.49,2325.69,453.22,3.01,False,False,True,below_standard_gap_application,68.0,7.0,61.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06037204920,Census Tract 2049.20,2274,0.35,1242.52,19.71,0.0,False,False,True,below_standard_gap_application,45.0,0.0,45.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06037205110,Census Tract 2051.10,3501,0.11,1912.96,30.34,0.0,False,False,True,below_standard_gap_application,57.0,0.0,57.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037205120,Census Tract 2051.20,3252,0.57,1776.87,28.19,0.0,False,False,True,below_standard_gap_application,54.0,0.0,54.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037206010,Census Tract 2060.10,3392,0.56,2307.28,199.37,6.93,False,False,True,below_standard_gap_application,66.0,16.0,50.0,26-50,Gap 26-50 EVSE,"5-10 EVSE / 1,000 vehicles"
06037206020,Census Tract 2060.20,7629,0.34,5189.35,448.41,11.18,False,False,True,below_standard_gap_application,176.0,58.0,118.0,101-250,Gap 101-250 EVSE,"10-20 EVSE / 1,000 vehicles"
06037206050,Census Tract 2060.50,2340,0.69,1260.02,21.4,1.59,False,False,True,below_standard_gap_application,46.0,2.0,44.0,26-50,Gap 26-50 EVSE,"1-5 EVSE / 1,000 vehicles"
06037111402,Census Tract 1114.02,5888,0.37,4679.52,448.86,0.85,False,False,True,below_standard_gap_application,148.0,4.0,144.0,101-250,Gap 101-250 EVSE,"0-1 EVSE / 1,000 vehicles"
06037111303,Census Tract 1113.03,4424,0.6,3492.01,341.91,0.0,False,False,True,below_standard_gap_application,99.0,0.0,99.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037104321,Census Tract 1043.21,2749,0.2,2023.63,48.91,0.0,False,False,True,below_standard_gap_application,59.0,0.0,59.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037104322,Census Tract 1043.22,1778,0.27,1308.85,31.64,0.76,False,False,True,below_standard_gap_application,46.0,1.0,45.0,26-50,Gap 26-50 EVSE,"0-1 EVSE / 1,000 vehicles"
06037108203,Census Tract 1082.03,3074,0.53,2547.99,433.15,0.0,False,False,True,below_standard_gap_application,73.0,0.0,73.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037320101,Census Tract 3201.01,3385,0.26,2476.63,61.98,0.0,False,False,True,below_standard_gap_application,68.0,0.0,68.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037920121,Census Tract 9201.21,11359,4.71,8784.12,918.2,4.33,False,False,True,below_standard_gap_application,601.0,38.0,563.0,501-1000,Gap 501-1000 EVSE,"1-5 EVSE / 1,000 vehicles"
06037231901,Census Tract 2319.01,2820,0.09,1437.34,23.17,0.0,False,False,True,below_standard_gap_application,48.0,0.0,48.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06037232402,Census Tract 2324.02,3155,0.21,1869.91,52.04,0.0,False,False,True,below_standard_gap_application,56.0,0.0,56.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037135204,Census Tract 1352.04,4915,0.72,3930.3,516.41,0.0,False,False,True,below_standard_gap_application,117.0,0.0,117.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06037460101,Census Tract 4601.01,5204,2.2,3928.58,405.12,0.0,False,False,True,below_standard_gap_application,115.0,0.0,115.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06037132302,Census Tract 1323.02,2904,0.25,2082.26,108.53,0.0,False,False,True,below_standard_gap_application,60.0,0.0,60.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037135115,Census Tract 1351.15,4309,0.13,3063.87,398.04,5.87,False,False,True,below_standard_gap_application,87.0,18.0,69.0,51-100,Gap 51-100 EVSE,"5-10 EVSE / 1,000 vehicles"
06037132301,Census Tract 1323.01,3604,0.24,2584.18,134.69,0.0,False,False,True,below_standard_gap_application,72.0,0.0,72.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037134907,Census Tract 1349.07,4209,0.15,2654.68,138.12,1.88,False,False,True,below_standard_gap_application,74.0,5.0,69.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06037119003,Census Tract 1190.03,3417,0.33,2515.37,60.8,0.0,False,False,True,below_standard_gap_application,69.0,0.0,69.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
