GEOID,NAMELSAD,COUNTYFP,county_name,current_total_evse,predicted_target_evse_count,baseline_target_evse_count,planning_gap_evse_non_benchmark_only,baseline_gap_evse,target_difference_final_minus_baseline,gap_difference_final_minus_baseline
06001442700,Census Tract 4427,1,Alameda,0.0,64.0,11.0,64.0,11.0,53.0,53.0
06001442800,Census Tract 4428,1,Alameda,7.0,68.0,11.0,61.0,4.0,57.0,57.0
06037204920,Census Tract 2049.20,37,Los Angeles,0.0,45.0,13.0,45.0,13.0,32.0,32.0
06037205110,Census Tract 2051.10,37,Los Angeles,0.0,57.0,24.0,57.0,24.0,33.0,33.0
06037205120,Census Tract 2051.20,37,Los Angeles,0.0,54.0,11.0,54.0,11.0,43.0,43.0
06037206010,Census Tract 2060.10,37,Los Angeles,16.0,66.0,11.0,50.0,0.0,55.0,50.0
06037206020,Census Tract 2060.20,37,Los Angeles,58.0,176.0,14.0,118.0,0.0,162.0,118.0
06037206050,Census Tract 2060.50,37,Los Angeles,2.0,46.0,10.0,44.0,8.0,36.0,36.0
06037111402,Census Tract 1114.02,37,Los Angeles,4.0,148.0,13.0,144.0,9.0,135.0,135.0
06037111303,Census Tract 1113.03,37,Los Angeles,0.0,99.0,10.0,99.0,10.0,89.0,89.0
06037104321,Census Tract 1043.21,37,Los Angeles,0.0,59.0,18.0,59.0,18.0,41.0,41.0
06037104322,Census Tract 1043.22,37,Los Angeles,1.0,46.0,15.0,45.0,14.0,31.0,31.0
06037108203,Census Tract 1082.03,37,Los Angeles,0.0,73.0,11.0,73.0,11.0,62.0,62.0
06037320101,Census Tract 3201.01,37,Los Angeles,0.0,68.0,16.0,68.0,16.0,52.0,52.0
06037920121,Census Tract 9201.21,37,Los Angeles,38.0,601.0,4.0,563.0,0.0,597.0,563.0
06037231901,Census Tract 2319.01,37,Los Angeles,0.0,48.0,26.0,48.0,26.0,22.0,22.0
06037232402,Census Tract 2324.02,37,Los Angeles,0.0,56.0,17.0,56.0,17.0,39.0,39.0
06037135204,Census Tract 1352.04,37,Los Angeles,0.0,117.0,9.0,117.0,9.0,108.0,108.0
06037460101,Census Tract 4601.01,37,Los Angeles,0.0,115.0,5.0,115.0,5.0,110.0,110.0
06037132302,Census Tract 1323.02,37,Los Angeles,0.0,60.0,16.0,60.0,16.0,44.0,44.0
06037135115,Census Tract 1351.15,37,Los Angeles,18.0,87.0,22.0,69.0,4.0,65.0,65.0
06037132301,Census Tract 1323.01,37,Los Angeles,0.0,72.0,16.0,72.0,16.0,56.0,56.0
06037134907,Census Tract 1349.07,37,Los Angeles,5.0,74.0,21.0,69.0,16.0,53.0,53.0
06037119003,Census Tract 1190.03,37,Los Angeles,0.0,69.0,14.0,69.0,14.0,55.0,55.0
06037111401,Census Tract 1114.01,37,Los Angeles,0.0,52.0,14.0,52.0,14.0,38.0,38.0
06037103401,Census Tract 1034.01,37,Los Angeles,0.0,58.0,11.0,58.0,11.0,47.0,47.0
06001442900,Census Tract 4429,1,Alameda,0.0,245.0,9.0,245.0,9.0,236.0,236.0
06037192410,Census Tract 1924.10,37,Los Angeles,0.0,65.0,16.0,65.0,16.0,49.0,49.0
06037192510,Census Tract 1925.10,37,Los Angeles,0.0,61.0,22.0,61.0,22.0,39.0,39.0
06037192520,Census Tract 1925.20,37,Los Angeles,0.0,71.0,23.0,71.0,23.0,48.0,48.0
06037192610,Census Tract 1926.10,37,Los Angeles,0.0,62.0,20.0,62.0,20.0,42.0,42.0
06037192700,Census Tract 1927,37,Los Angeles,0.0,51.0,18.0,51.0,18.0,33.0,33.0
06037194500,Census Tract 1945,37,Los Angeles,10.0,48.0,16.0,38.0,6.0,32.0,32.0
06037195100,Census Tract 1951,37,Los Angeles,2.0,96.0,9.0,94.0,7.0,87.0,87.0
06037195300,Census Tract 1953,37,Los Angeles,3.0,52.0,17.0,49.0,14.0,35.0,35.0
06095252204,Census Tract 2522.04,95,Solano,5.0,178.0,3.0,173.0,0.0,175.0,173.0
06095252203,Census Tract 2522.03,95,Solano,35.0,109.0,4.0,74.0,0.0,105.0,74.0
06095253501,Census Tract 2535.01,95,Solano,0.0,302.0,1.0,302.0,1.0,301.0,301.0
06095252205,Census Tract 2522.05,95,Solano,0.0,371.0,4.0,371.0,4.0,367.0,367.0
06095252206,Census Tract 2522.06,95,Solano,0.0,149.0,6.0,149.0,6.0,143.0,143.0
06095253207,Census Tract 2532.07,95,Solano,0.0,63.0,12.0,63.0,12.0,51.0,51.0
06095253502,Census Tract 2535.02,95,Solano,4.0,170.0,2.0,166.0,0.0,168.0,166.0
06095253208,Census Tract 2532.08,95,Solano,0.0,111.0,20.0,111.0,20.0,91.0,91.0
06001443001,Census Tract 4430.01,1,Alameda,0.0,64.0,14.0,64.0,14.0,50.0,50.0
06001443002,Census Tract 4430.02,1,Alameda,0.0,173.0,10.0,173.0,10.0,163.0,163.0
06001443102,Census Tract 4431.02,1,Alameda,10.0,116.0,8.0,106.0,0.0,108.0,106.0
06001443301,Census Tract 4433.01,1,Alameda,0.0,99.0,10.0,99.0,10.0,89.0,89.0
06037137501,Census Tract 1375.01,37,Los Angeles,1.0,122.0,8.0,121.0,7.0,114.0,114.0
06037137502,Census Tract 1375.02,37,Los Angeles,0.0,101.0,9.0,101.0,9.0,92.0,92.0
06001444100,Census Tract 4441,1,Alameda,0.0,193.0,7.0,193.0,7.0,186.0,186.0
06001444200,Census Tract 4442,1,Alameda,13.0,161.0,9.0,148.0,0.0,152.0,148.0
06037195500,Census Tract 1955,37,Los Angeles,4.0,82.0,12.0,78.0,8.0,70.0,70.0
06037195600,Census Tract 1956,37,Los Angeles,1.0,51.0,18.0,50.0,17.0,33.0,33.0
06037195710,Census Tract 1957.10,37,Los Angeles,0.0,62.0,18.0,62.0,18.0,44.0,44.0
06037195720,Census Tract 1957.20,37,Los Angeles,0.0,41.0,24.0,41.0,24.0,17.0,17.0
06001444400,Census Tract 4444,1,Alameda,12.0,110.0,12.0,98.0,0.0,98.0,98.0
06037195802,Census Tract 1958.02,37,Los Angeles,6.0,51.0,20.0,45.0,14.0,31.0,31.0
06001444500,Census Tract 4445,1,Alameda,9.0,182.0,9.0,173.0,0.0,173.0,173.0
06001450200,Census Tract 4502,1,Alameda,0.0,164.0,10.0,164.0,10.0,154.0,154.0
06001450300,Census Tract 4503,1,Alameda,45.0,126.0,7.0,81.0,0.0,119.0,81.0
06105000500,Census Tract 5,105,Trinity,0.0,77.0,15.0,77.0,15.0,62.0,62.0
06037137504,Census Tract 1375.04,37,Los Angeles,0.0,49.0,7.0,49.0,7.0,42.0,42.0
06037138000,Census Tract 1380,37,Los Angeles,0.0,99.0,6.0,99.0,6.0,93.0,93.0
06037139200,Census Tract 1392,37,Los Angeles,2.0,108.0,12.0,106.0,10.0,96.0,96.0
06087120901,Census Tract 1209.01,87,Santa Cruz,18.0,92.0,5.0,74.0,0.0,87.0,74.0
06087120902,Census Tract 1209.02,87,Santa Cruz,0.0,131.0,9.0,131.0,9.0,122.0,122.0
06087121601,Census Tract 1216.01,87,Santa Cruz,0.0,50.0,15.0,50.0,15.0,35.0,35.0
06087122401,Census Tract 1224.01,87,Santa Cruz,0.0,57.0,3.0,57.0,3.0,54.0,54.0
06087121602,Census Tract 1216.02,87,Santa Cruz,0.0,47.0,18.0,47.0,18.0,29.0,29.0
06087110503,Census Tract 1105.03,87,Santa Cruz,0.0,77.0,24.0,77.0,24.0,53.0,53.0
06087110506,Census Tract 1105.06,87,Santa Cruz,3.0,72.0,26.0,69.0,23.0,46.0,46.0
06087110202,Census Tract 1102.02,87,Santa Cruz,4.0,87.0,15.0,83.0,11.0,72.0,72.0
06087110505,Census Tract 1105.05,87,Santa Cruz,6.0,114.0,23.0,108.0,17.0,91.0,91.0
06087110201,Census Tract 1102.01,87,Santa Cruz,0.0,70.0,30.0,70.0,30.0,40.0,40.0
06087110302,Census Tract 1103.02,87,Santa Cruz,6.0,71.0,35.0,65.0,29.0,36.0,36.0
06087110301,Census Tract 1103.01,87,Santa Cruz,17.0,89.0,27.0,72.0,10.0,62.0,62.0
06087110401,Census Tract 1104.01,87,Santa Cruz,0.0,74.0,12.0,74.0,12.0,62.0,62.0
06087121701,Census Tract 1217.01,87,Santa Cruz,4.0,103.0,21.0,99.0,17.0,82.0,82.0
06087121702,Census Tract 1217.02,87,Santa Cruz,26.0,79.0,19.0,53.0,0.0,60.0,53.0
06087110102,Census Tract 1101.02,87,Santa Cruz,0.0,95.0,22.0,95.0,22.0,73.0,73.0
06087110601,Census Tract 1106.01,87,Santa Cruz,0.0,152.0,18.0,152.0,18.0,134.0,134.0
06087122205,Census Tract 1222.05,87,Santa Cruz,4.0,51.0,11.0,47.0,7.0,40.0,40.0
06087100801,Census Tract 1008.01,87,Santa Cruz,21.0,89.0,22.0,68.0,1.0,67.0,67.0
06087101002,Census Tract 1010.02,87,Santa Cruz,16.0,60.0,16.0,44.0,0.0,44.0,44.0
06087121802,Census Tract 1218.02,87,Santa Cruz,1.0,57.0,23.0,56.0,22.0,34.0,34.0
06067002300,Census Tract 23,67,Sacramento,6.0,66.0,25.0,60.0,19.0,41.0,41.0
06067002400,Census Tract 24,67,Sacramento,0.0,95.0,15.0,95.0,15.0,80.0,80.0
06037143200,Census Tract 1432,37,Los Angeles,0.0,77.0,13.0,77.0,13.0,64.0,64.0
06037201301,Census Tract 2013.01,37,Los Angeles,0.0,59.0,14.0,59.0,14.0,45.0,45.0
06037201302,Census Tract 2013.02,37,Los Angeles,0.0,71.0,13.0,71.0,13.0,58.0,58.0
06037201401,Census Tract 2014.01,37,Los Angeles,0.0,71.0,11.0,71.0,11.0,60.0,60.0
06037236001,Census Tract 2360.01,37,Los Angeles,0.0,70.0,9.0,70.0,9.0,61.0,61.0
06037236102,Census Tract 2361.02,37,Los Angeles,0.0,58.0,18.0,58.0,18.0,40.0,40.0
06037409100,Census Tract 4091,37,Los Angeles,0.0,132.0,10.0,132.0,10.0,122.0,122.0
06037234301,Census Tract 2343.01,37,Los Angeles,4.0,43.0,18.0,39.0,14.0,25.0,25.0
06037231601,Census Tract 2316.01,37,Los Angeles,1.0,47.0,23.0,46.0,22.0,24.0,24.0
06037231603,Census Tract 2316.03,37,Los Angeles,0.0,51.0,23.0,51.0,23.0,28.0,28.0
06037234001,Census Tract 2340.01,37,Los Angeles,0.0,48.0,16.0,48.0,16.0,32.0,32.0
06037236205,Census Tract 2362.05,37,Los Angeles,0.0,52.0,31.0,52.0,31.0,21.0,21.0
06037231301,Census Tract 2313.01,37,Los Angeles,0.0,53.0,27.0,53.0,27.0,26.0,26.0
06037231302,Census Tract 2313.02,37,Los Angeles,7.0,54.0,20.0,47.0,13.0,34.0,34.0
06037532607,Census Tract 5326.07,37,Los Angeles,0.0,82.0,12.0,82.0,12.0,70.0,70.0
06037275604,Census Tract 2756.04,37,Los Angeles,47.0,229.0,10.0,182.0,0.0,219.0,182.0
06037530007,Census Tract 5300.07,37,Los Angeles,4.0,141.0,6.0,137.0,2.0,135.0,135.0
06037271804,Census Tract 2718.04,37,Los Angeles,0.0,50.0,22.0,50.0,22.0,28.0,28.0
06037551002,Census Tract 5510.02,37,Los Angeles,0.0,85.0,13.0,85.0,13.0,72.0,72.0
06037502700,Census Tract 5027,37,Los Angeles,4.0,224.0,5.0,220.0,1.0,219.0,219.0
06037502901,Census Tract 5029.01,37,Los Angeles,0.0,117.0,12.0,117.0,12.0,105.0,105.0
06037550801,Census Tract 5508.01,37,Los Angeles,2.0,103.0,10.0,101.0,8.0,93.0,93.0
06037502604,Census Tract 5026.04,37,Los Angeles,0.0,73.0,13.0,73.0,13.0,60.0,60.0
06037276608,Census Tract 2766.08,37,Los Angeles,0.0,61.0,21.0,61.0,21.0,40.0,40.0
06037550502,Census Tract 5505.02,37,Los Angeles,12.0,89.0,10.0,77.0,0.0,79.0,77.0
06037276102,Census Tract 2761.02,37,Los Angeles,5.0,228.0,16.0,223.0,11.0,212.0,212.0
06037408707,Census Tract 4087.07,37,Los Angeles,4.0,203.0,6.0,199.0,2.0,197.0,197.0
06037275312,Census Tract 2753.12,37,Los Angeles,0.0,48.0,14.0,48.0,14.0,34.0,34.0
06037275605,Census Tract 2756.05,37,Los Angeles,32.0,56.0,13.0,24.0,0.0,43.0,24.0
06037533108,Census Tract 5331.08,37,Los Angeles,0.0,80.0,16.0,80.0,16.0,64.0,64.0
06037276101,Census Tract 2761.01,37,Los Angeles,1.0,479.0,22.0,478.0,21.0,457.0,457.0
06047002403,Census Tract 24.03,47,Merced,0.0,66.0,9.0,66.0,9.0,57.0,57.0
06047002404,Census Tract 24.04,47,Merced,0.0,120.0,19.0,120.0,19.0,101.0,101.0
06047000404,Census Tract 4.04,47,Merced,0.0,108.0,5.0,108.0,5.0,103.0,103.0
06047001007,Census Tract 10.07,47,Merced,4.0,107.0,16.0,103.0,12.0,91.0,91.0
06047002305,Census Tract 23.05,47,Merced,0.0,130.0,30.0,130.0,30.0,100.0,100.0
06047002203,Census Tract 22.03,47,Merced,0.0,113.0,15.0,113.0,15.0,98.0,98.0
06047002303,Census Tract 23.03,47,Merced,6.0,180.0,17.0,174.0,11.0,163.0,163.0
06047002002,Census Tract 20.02,47,Merced,0.0,340.0,3.0,340.0,3.0,337.0,337.0
06047002306,Census Tract 23.06,47,Merced,0.0,63.0,40.0,63.0,40.0,23.0,23.0
06047002601,Census Tract 26.01,47,Merced,0.0,59.0,8.0,59.0,8.0,51.0,51.0
06047000305,Census Tract 3.05,47,Merced,0.0,146.0,20.0,146.0,20.0,126.0,126.0
06047002304,Census Tract 23.04,47,Merced,0.0,61.0,8.0,61.0,8.0,53.0,53.0
06047002001,Census Tract 20.01,47,Merced,0.0,41.0,2.0,41.0,2.0,39.0,39.0
06047000904,Census Tract 9.04,47,Merced,0.0,99.0,14.0,99.0,14.0,85.0,85.0
06047000903,Census Tract 9.03,47,Merced,0.0,76.0,12.0,76.0,12.0,64.0,64.0
06047001008,Census Tract 10.08,47,Merced,0.0,188.0,15.0,188.0,15.0,173.0,173.0
06047001604,Census Tract 16.04,47,Merced,0.0,79.0,18.0,79.0,18.0,61.0,61.0
06047000204,Census Tract 2.04,47,Merced,10.0,110.0,26.0,100.0,16.0,84.0,84.0
06047002602,Census Tract 26.02,47,Merced,0.0,77.0,9.0,77.0,9.0,68.0,68.0
06047002204,Census Tract 22.04,47,Merced,0.0,177.0,20.0,177.0,20.0,157.0,157.0
06047000403,Census Tract 4.03,47,Merced,0.0,91.0,7.0,91.0,7.0,84.0,84.0
06047001006,Census Tract 10.06,47,Merced,0.0,88.0,31.0,88.0,31.0,57.0,57.0
06047000205,Census Tract 2.05,47,Merced,0.0,107.0,29.0,107.0,29.0,78.0,78.0
06037139301,Census Tract 1393.01,37,Los Angeles,1.0,83.0,8.0,82.0,7.0,75.0,75.0
06037139302,Census Tract 1393.02,37,Los Angeles,0.0,117.0,22.0,117.0,22.0,95.0,95.0
06037139502,Census Tract 1395.02,37,Los Angeles,9.0,66.0,13.0,57.0,4.0,53.0,53.0
06037139600,Census Tract 1396,37,Los Angeles,3.0,90.0,8.0,87.0,5.0,82.0,82.0
06037139701,Census Tract 1397.01,37,Los Angeles,22.0,144.0,7.0,122.0,0.0,137.0,122.0
06037139801,Census Tract 1398.01,37,Los Angeles,0.0,75.0,7.0,75.0,7.0,68.0,68.0
06013324002,Census Tract 3240.02,13,Contra Costa,10.0,116.0,15.0,106.0,5.0,101.0,101.0
06013320004,Census Tract 3200.04,13,Contra Costa,2.0,155.0,9.0,153.0,7.0,146.0,146.0
06013336201,Census Tract 3362.01,13,Contra Costa,0.0,74.0,19.0,74.0,19.0,55.0,55.0
06013338203,Census Tract 3382.03,13,Contra Costa,20.0,129.0,17.0,109.0,0.0,112.0,109.0
06013338204,Census Tract 3382.04,13,Contra Costa,0.0,143.0,13.0,143.0,13.0,130.0,130.0
06013345204,Census Tract 3452.04,13,Contra Costa,0.0,83.0,6.0,83.0,6.0,77.0,77.0
06013345203,Census Tract 3452.03,13,Contra Costa,9.0,245.0,4.0,236.0,0.0,241.0,236.0
06013345112,Census Tract 3451.12,13,Contra Costa,0.0,252.0,7.0,252.0,7.0,245.0,245.0
06013345113,Census Tract 3451.13,13,Contra Costa,0.0,131.0,9.0,131.0,9.0,122.0,122.0
06037143500,Census Tract 1435,37,Los Angeles,3.0,116.0,12.0,113.0,9.0,104.0,104.0
06037181000,Census Tract 1810,37,Los Angeles,0.0,109.0,6.0,109.0,6.0,103.0,103.0
06037181500,Census Tract 1815,37,Los Angeles,0.0,69.0,12.0,69.0,12.0,57.0,57.0
06037181600,Census Tract 1816,37,Los Angeles,10.0,76.0,11.0,66.0,1.0,65.0,65.0
06037183101,Census Tract 1831.01,37,Los Angeles,0.0,59.0,13.0,59.0,13.0,46.0,46.0
06001441402,Census Tract 4414.02,1,Alameda,0.0,108.0,10.0,108.0,10.0,98.0,98.0
06001441501,Census Tract 4415.01,1,Alameda,0.0,120.0,7.0,120.0,7.0,113.0,113.0
06001441521,Census Tract 4415.21,1,Alameda,0.0,130.0,10.0,130.0,10.0,120.0,120.0
06001441522,Census Tract 4415.22,1,Alameda,0.0,106.0,11.0,106.0,11.0,95.0,95.0
06001441601,Census Tract 4416.01,1,Alameda,0.0,96.0,11.0,96.0,11.0,85.0,85.0
06037406103,Census Tract 4061.03,37,Los Angeles,2.0,244.0,9.0,242.0,7.0,235.0,235.0
06037920339,Census Tract 9203.39,37,Los Angeles,23.0,519.0,2.0,496.0,0.0,517.0,496.0
06037482521,Census Tract 4825.21,37,Los Angeles,0.0,126.0,10.0,126.0,10.0,116.0,116.0
06067001102,Census Tract 11.02,67,Sacramento,9.0,51.0,43.0,42.0,34.0,8.0,8.0
06067001201,Census Tract 12.01,67,Sacramento,0.0,63.0,43.0,63.0,43.0,20.0,20.0
06067006902,Census Tract 69.02,67,Sacramento,2.0,55.0,22.0,53.0,20.0,33.0,33.0
06067006802,Census Tract 68.02,67,Sacramento,0.0,43.0,35.0,43.0,35.0,8.0,8.0
06001441602,Census Tract 4416.02,1,Alameda,0.0,179.0,10.0,179.0,10.0,169.0,169.0
06037183220,Census Tract 1832.20,37,Los Angeles,0.0,56.0,18.0,56.0,18.0,38.0,38.0
06037183300,Census Tract 1833,37,Los Angeles,0.0,54.0,17.0,54.0,17.0,37.0,37.0
06037183510,Census Tract 1835.10,37,Los Angeles,0.0,49.0,18.0,49.0,18.0,31.0,31.0
06037183520,Census Tract 1835.20,37,Los Angeles,2.0,65.0,20.0,63.0,18.0,45.0,45.0
