GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06037276000,Census Tract 2760,37,276000,0.9028740720436974,23.0,48.0,25.4742058855876,53.16356010905238,6626,1387.2865463105684,1389.8040031451508,7920.170947279844,2715.0710286016947,2719.9979661082307,15500.63808931247,6.060475249777966,0.1751586620471907,3.096646713730805,0.1751586620471907,False,False,True,6125.0,48.0,6077.0,below_standard_gap_application,6077.0,>1000
06073013317,Census Tract 133.17,73,13317,6.664922358724757,4.0,7.0,0.6001570288007595,1.0502748004013291,18047,2116.448114980853,2119.983449881764,33266.28230458739,962.1419221173724,963.7324587797316,14493.93558753717,0.2104232729076163,0.0636214198990608,0.4829606118864676,0.0663823787753469,False,False,True,3875.0,7.0,3868.0,below_standard_gap_application,3868.0,>1000
06073018700,Census Tract 187,73,18700,215.88690326045025,0.0,0.0,0.0,0.0,40415,3056.141326815635,3067.3952156726477,49687.63621245687,727.8752980679008,730.2082775102981,13475.21789683762,0.0,0.0615070782145488,0.0,0.0540158462475563,False,False,True,3168.0,0.0,3168.0,below_standard_gap_application,3168.0,>1000
06037277000,Census Tract 2770,37,277000,0.8876129589702345,0.0,0.0,0.0,0.0,5711,1363.837498980631,1366.3124037090013,7786.297765926028,2340.140453417473,2344.387018479324,13360.1183410901,0.0,0.1751586620471904,0.0,0.1751586620471905,False,False,True,2947.0,0.0,2947.0,below_standard_gap_application,2947.0,>1000
06037276500,Census Tract 2765,37,276500,0.4602164819199196,18.0,34.0,39.1120281588092,73.87827541108405,5464,707.1330914551634,708.4162993394884,4037.100324873856,2238.929686126623,2242.992587807232,12782.294977358855,8.421886320365935,0.1751586620471857,2.6599292271242243,0.1751586620471844,False,False,True,2419.0,34.0,2385.0,below_standard_gap_application,2385.0,>1000
06065042733,Census Tract 427.33,65,42733,6.294239536294814,0.0,0.0,0.0,0.0,14580,759.2817760880711,762.1014674927793,9885.199753890694,1027.1081975504153,1031.805396917596,12713.783375729605,0.0,0.0768099578148865,0.0,0.0807869826940065,False,False,True,2168.0,0.0,2168.0,below_standard_gap_application,2168.0,>1000
06077005106,Census Tract 51.06,77,5106,39.094547324128,0.0,0.0,0.0,0.0,15336,1878.7080417195896,1881.9005070978976,31934.53708046363,729.5982751715871,730.8162192327841,12539.527344217617,0.0,0.0588299757402437,0.0,0.0581838736934553,False,False,True,1988.0,0.0,1988.0,below_standard_gap_application,1988.0,>1000
06059052433,Census Tract 524.33,59,52433,1.3014184463772422,3.0,8.0,2.3051770999182457,6.147138933115321,16295,1594.7260254430082,1612.29511346788,8079.964420293023,2413.3421519504045,2438.315747768594,11873.275609231823,0.990103369750962,0.1973679514525851,0.6737820516673396,0.203258328314552,False,False,True,1991.0,8.0,1983.0,below_standard_gap_application,1983.0,>1000
06073021101,Census Tract 211.01,73,21101,234.69836815484885,6.0,10.0,0.025564728238934,0.0426078803982233,4714,137.95443377921382,137.95443377921382,12560.837782589548,140.9388150185544,140.9388150185544,12676.350160923495,0.7961252404565641,0.0109829006764525,0.7888706033718053,0.0111182488042194,False,False,True,1801.0,10.0,1791.0,below_standard_gap_application,1791.0,>1000
06059052422,Census Tract 524.22,59,52422,2.589328711869902,5.0,17.0,1.9310024166028783,6.565408216449788,12295,1310.9842633362075,1324.9677373963166,12278.048478728591,1287.473047359283,1300.1399239187217,11527.032064282226,1.3845848572313484,0.1067746446519945,1.4747941972571037,0.1116916340806112,False,False,True,1512.0,17.0,1495.0,below_standard_gap_application,1495.0,>1000
06025011002,Census Tract 110.02,25,11002,4.451985662435406,0.0,0.0,0.0,0.0,11566,7.360343676534112,7.360343676534112,399.9240037252263,218.93589112241432,218.93589112241432,11895.87361470272,0.0,0.0184043558475453,0.0,0.0184043558475453,False,False,True,1484.0,0.0,1484.0,below_standard_gap_application,1484.0,>1000
