GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06073018700,Census Tract 187,73,18700,215.88690326045025,0.0,0.0,0.0,0.0,40415,3056.141326815635,3067.3952156726477,49687.63621245687,727.8752980679008,730.2082775102981,13475.21789683762,0.0,0.0615070782145488,0.0,0.0540158462475563,False,3168.0,0.0,3168.0,non_benchmark_application,3168.0,>1000
06037277000,Census Tract 2770,37,277000,0.8876129589702345,0.0,0.0,0.0,0.0,5711,1363.837498980631,1366.3124037090013,7786.297765926028,2340.140453417473,2344.387018479324,13360.1183410901,0.0,0.1751586620471904,0.0,0.1751586620471905,False,2947.0,0.0,2947.0,non_benchmark_application,2947.0,>1000
06065042733,Census Tract 427.33,65,42733,6.294239536294814,0.0,0.0,0.0,0.0,14580,759.2817760880711,762.1014674927793,9885.199753890694,1027.1081975504153,1031.805396917596,12713.783375729605,0.0,0.0768099578148865,0.0,0.0807869826940065,False,2168.0,0.0,2168.0,non_benchmark_application,2168.0,>1000
06077005106,Census Tract 51.06,77,5106,39.094547324128,0.0,0.0,0.0,0.0,15336,1878.7080417195896,1881.9005070978976,31934.53708046363,729.5982751715871,730.8162192327841,12539.527344217617,0.0,0.0588299757402437,0.0,0.0581838736934553,False,1988.0,0.0,1988.0,non_benchmark_application,1988.0,>1000
06025011002,Census Tract 110.02,25,11002,4.451985662435406,0.0,0.0,0.0,0.0,11566,7.360343676534112,7.360343676534112,399.9240037252263,218.93589112241432,218.93589112241432,11895.87361470272,0.0,0.0184043558475453,0.0,0.0184043558475453,False,1484.0,0.0,1484.0,non_benchmark_application,1484.0,>1000
06071001906,Census Tract 19.06,71,1906,3.012675694581717,0.0,0.0,0.0,0.0,13555,346.93124840368256,348.9656358968152,5995.705495575827,660.8758022049306,664.7468217985818,11385.674956238592,0.0,0.0578632904267362,0.0,0.0580444993155908,False,1350.0,0.0,1350.0,non_benchmark_application,1350.0,>1000
06037276400,Census Tract 2764,37,276400,0.4926490942047399,0.0,0.0,0.0,0.0,4233,756.966537864937,758.3401766343508,4321.6049324525975,1734.5148904423445,1737.6624495225085,9902.535622103784,0.0,0.1751586620471907,0.0,0.1751586620471907,False,903.0,0.0,903.0,non_benchmark_application,903.0,501-1000
06065040609,Census Tract 406.09,65,40609,9.416678640067358,0.0,0.0,0.0,0.0,17975,1746.499642279814,1758.1241860868397,15270.071196689409,1100.2750658570387,1107.5983972756108,9619.972535263209,0.0,0.1143740340030935,0.0,0.1143740340030955,False,838.0,0.0,838.0,non_benchmark_application,838.0,501-1000
06065043823,Census Tract 438.23,65,43823,14.727662309026655,0.0,0.0,0.0,0.0,14738,583.6014340926988,584.2625576992036,11039.720155874602,527.7548928554058,528.3507059545939,9860.43471622352,0.0,0.052863788742158,0.0,0.0535224772582371,False,825.0,0.0,825.0,non_benchmark_application,825.0,501-1000
06019005912,Census Tract 59.12,19,5912,10.445456993276029,0.0,0.0,0.0,0.0,13429,153.4904469305173,153.49367574683032,2232.4013267101163,643.7208803475177,643.7454572315473,9471.296507165813,0.0,0.0687557586953756,0.0,0.0679654448427931,False,733.0,0.0,733.0,non_benchmark_application,733.0,501-1000
